instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
870,2011-02-08,1,0,2,16,0,2,1,1,0.22,0.1818,0.35,0.5224,4,79,83
714,2011-02-02,1,0,2,2,0,3,1,3,0.22,0.2273,0.93,0.1343,4,0,4
2009,2011-03-29,2,0,3,13,0,2,1,1,0.34,0.303,0.25,0.2985,24,80,104
2247,2011-04-08,2,0,4,11,0,5,1,2,0.4,0.4091,0.62,0.3881,19,79,98
219,2011-01-10,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94
1755,2011-03-18,1,0,3,19,0,5,1,1,0.66,0.6212,0.44,0.1343,58,132,190
652,2011-01-30,1,0,1,11,0,0,0,1,0.22,0.2727,0.75,0.0,9,50,59
1256,2011-02-25,1,0,2,11,0,5,1,1,0.52,0.5,0.77,0.4478,9,50,59
1812,2011-03-21,2,0,3,5,0,1,1,1,0.32,0.303,0.81,0.2985,1,1,2
980,2011-02-13,1,0,2,11,0,0,0,1,0.32,0.2879,0.39,0.4478,26,86,112
717,2011-02-02,1,0,2,5,0,3,1,3,0.22,0.2424,0.93,0.1045,0,3,3
1826,2011-03-21,2,0,3,19,0,1,1,1,0.58,0.5455,0.6,0.4179,22,199,221
124,2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122
614,2011-01-28,1,0,1,19,0,5,1,2,0.24,0.2424,0.75,0.1343,5,84,89
1021,2011-02-15,1,0,2,5,0,2,1,1,0.22,0.1818,0.32,0.4627,0,4,4
1874,2011-03-23,2,0,3,20,0,3,1,3,0.36,0.303,0.87,0.6418,3,72,75
1234,2011-02-24,1,0,2,12,0,4,1,2,0.36,0.3333,0.53,0.3582,10,85,95
7481,2011-11-13,4,0,11,7,0,0,0,1,0.34,0.3182,0.66,0.2239,13,30,43
1521,2011-03-08,1,0,3,17,0,2,1,1,0.36,0.3485,0.27,0.2239,39,209,248
490,2011-01-22,1,0,1,11,0,6,0,2,0.06,0.0758,0.38,0.1343,4,59,63
1225,2011-02-24,1,0,2,2,0,4,1,1,0.2,0.2273,0.64,0.0896,0,4,4
1243,2011-02-24,1,0,2,21,0,4,1,2,0.34,0.303,0.87,0.3284,7,76,83
1253,2011-02-25,1,0,2,8,0,5,1,3,0.36,0.3485,0.93,0.1343,3,70,73
1128,2011-02-19,1,0,2,17,0,6,0,1,0.42,0.4242,0.19,0.6119,36,91,127
1381,2011-03-02,1,0,3,19,0,3,1,1,0.4,0.4091,0.28,0.5224,6,144,150
7150,2011-10-30,4,0,10,12,0,0,0,1,0.38,0.3939,0.5,0.19399999999999998,85,229,314
1959,2011-03-27,2,0,3,10,0,0,0,2,0.22,0.2121,0.55,0.2239,27,59,86
2116,2011-04-03,2,0,4,0,0,0,0,1,0.3,0.2879,0.65,0.19399999999999998,8,31,39
1058,2011-02-16,1,0,2,19,0,3,1,1,0.34,0.3182,0.53,0.2239,18,143,161
130,2011-01-06,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62
