Colour,BHP,Mileage,Charge,Stroke,Cylinder,Engine,Nitro,Wing
Black,159,28,23,7,5,2,0,0
Black,144,27,212,6,9,1,0,0
Black,147,29,218,6,4,1,0,0
Black,145,26,217,17,8,1,0,0
Black,150,25,212,6,5,2,1,0
Black,165,27,23,7,5,2,1,0
Black,154,27,27,5,5,2,0,0
Black,146,26,210,10,4,1,0,0
Black,152,27,217,8,6,1,0,0
Black,151,27,217,11,4,1,0,0
White,149,22,226,19,14,1,1,0
White,150,21,216,10,8,3,0,0
White,134,21,220,20,5,2,1,0
White,139,23,217,19,10,1,1,0
White,138,24,223,15,8,0,1,0
White,142,24,225,9,5,1,0,0
White,136,24,221,14,11,2,1,0
White,148,23,231,8,6,1,1,0
White,136,24,224,12,9,1,1,0
White,134,23,223,11,13,0,1,0
