cover,elev,tci,streamdist,disturb,beers
1,1660,5.70145988,490.9,CORPLOG,0.22442864
8,1712,3.82358599,454,VIRGIN,0.83408785
3,1722,3.89376211,453.4,LT-SEL,1.33325863
3,1754,3.14552689,492.5,SETTLE,1.47124839
8,1945,5.68206501,492.4,VIRGIN,1.64377141
4,1751,5.41718197,545.9,SETTLE,0.00032873
5,1967,5.66765404,528.9,VIRGIN,1.97855973
2,1935,4.62679195,463.2,VIRGIN,1.43602169
3,1475,4.81182003,284.3,VIRGIN,1.63963902
3,1479,5.1713748,169.7,VIRGIN,0.72596312
3,1631,5.06719112,226.3,VIRGIN,1.99433064
3,1531,5.76710176,100,VIRGIN,0.00006311
4,1602,4.35585213,170.3,VIRGIN,1.99559772
3,1581,5.41771984,402.2,VIRGIN,1.83788133
3,1478,4.73995209,130.4,VIRGIN,0.00065619
3,1560,5.68969488,131.5,VIRGIN,0.10741269
3,1552,4.73286581,291.5,VIRGIN,0.05336675
3,1506,5.8203392,114,VIRGIN,0.00487236
3,1428,5.56561089,107.7,VIRGIN,0.57186705
3,1589,4.98169279,126.5,VIRGIN,1.88765931
3,1661,4.66067123,262.5,VIRGIN,1.75796771
3,1492,4.74397278,468.6,VIRGIN,0.01359078
7,1607,5.94755316,189.7,VIRGIN,1.8502208
3,1460,5.02210617,358.5,VIRGIN,0.46850893
3,1537,6.07076788,174.6,VIRGIN,0.3168155
4,1578,4.44425106,250,VIRGIN,1.30499375
3,1656,5.81335592,78.1,VIRGIN,1.7076962
4,1610,3.98690891,120.4,VIRGIN,1.93042755
3,1476,5.41439104,372.2,VIRGIN,1.44459677
3,1487,5.43106413,360.6,LT-SEL,0.30659184
3,1532,6.64319992,495,VIRGIN,1.75983322
5,1624,5.96511078,710.2,VIRGIN,0.02898155
4,1550,5.38570213,510.9,LT-SEL,0.49430096
3,1510,6.49830914,357.4,VIRGIN,1.15809941
3,1508,4.83186293,224.7,VIRGIN,1.21381962
3,1468,8.38594818,53.85,CORPLOG,0.24552575
4,1556,6.47544193,78.1,CORPLOG,0.40550837
3,1634,6.37810183,601.4,CORPLOG,0.73674488
3,1653,4.62965679,557.3,CORPLOG,0.210328
4,1704,5.03531504,636,CORPLOG,0.39116263
3,1630,4.83152723,594.8,CORPLOG,0.40142676
4,1704,4.22699785,670.7,CORPLOG,0.02472965
4,1762,4.17316103,662.9,CORPLOG,0.13058402
5,1570,11.85,0,LT-SEL,0.4961189
7,1800,5.3517909,250,VIRGIN,1.88297582
7,1744,5.08646202,294.1,VIRGIN,1.94503284
4,1711,4.8272438,456.1,VIRGIN,0.90041411
4,1673,4.26575994,593,VIRGIN,0.81883985
6,1685,3.37474489,619.8,VIRGIN,1.97327042
7,1608,5.48555422,436.6,VIRGIN,0.29231822
2,1504,4.37374115,237.1,VIRGIN,1.65584207
4,1788,8.19665146,340.1,VIRGIN,0.64475149
8,1918,5.62233591,526.3,VIRGIN,1.44500017
8,1929,5.61357498,563.6,VIRGIN,1.4972105
5,1918,5.62233591,526.3,VIRGIN,1.44500017
5,1929,5.61357498,563.6,VIRGIN,1.4972105
8,1888,5.75559282,836.5,VIRGIN,1.26651835
8,1871,5.83612823,770.6,VIRGIN,1.04116046
3,1888,5.75559282,836.5,VIRGIN,1.26651835
3,1871,5.83612823,770.6,VIRGIN,1.04116046
9,1986,3.81454206,523.5,VIRGIN,1.95193851
9,1982,4.35775614,518.7,VIRGIN,1.82732928
6,1986,3.81454206,523.5,VIRGIN,1.95193851
6,1982,4.35775614,518.7,VIRGIN,1.82732928
8,1914,5.89898396,829.3,VIRGIN,1.24210036
8,1921,6.05268908,798.1,VIRGIN,1.11031556
8,1914,5.89898396,829.3,VIRGIN,1.24210036
8,1921,6.05268908,798.1,VIRGIN,1.11031556
8,1942,4.70868015,460.1,VIRGIN,1.86987484
8,1960,5.67768621,454,VIRGIN,1.9790107
9,1942,4.70868015,460.1,VIRGIN,1.86987484
9,1960,5.67768621,454,VIRGIN,1.9790107
6,1956,4.23310614,471.7,VIRGIN,0.27363729
7,1788,8.19665146,340.1,VIRGIN,0.64475149
7,1810,6.23944187,364,VIRGIN,1.44686759
6,1788,8.19665146,340.1,VIRGIN,0.64475149
6,1810,6.23944187,364,VIRGIN,1.44686759
5,1715,5.8489151,247,VIRGIN,0.23344201
5,1804,4.42385101,460.7,VIRGIN,1.9410969
8,1850,5.88755512,333.8,VIRGIN,0.11986513
2,1844,5.3425231,544.5,VIRGIN,0.68081403
2,1850,4.68655491,520.4,VIRGIN,0.5862956
9,1951,7.43629313,666.1,VIRGIN,1.12568665
6,1976,5.30821896,559.5,VIRGIN,1.99992287
2,1736,3.18916512,282.8,VIRGIN,1.664922
2,1626,5.62136602,451,VIRGIN,1.66357422
3,1666,5.48027182,392,CORPLOG,1.50162697
4,1523,5.66990805,161.2,VIRGIN,1.9708811
4,1696,4.45553923,114,VIRGIN,0.5687567
4,1783,3.75657892,430.1,VIRGIN,1.97245967
7,1992,4.07164717,440.1,VIRGIN,1.61623299
7,1842,6.81649017,460.1,VIRGIN,0.39654818
3,1621,5.23728991,455.4,VIRGIN,0.1878792
5,1762,3.93962407,286.4,VIRGIN,1.9866997
2,1957,3.9055469,458,VIRGIN,0.00245896
3,1957,4.86880207,446,VIRGIN,0.03909407
3,1939,4.47222281,434.2,VIRGIN,0.00482706
2,1950,4.78426886,431.9,VIRGIN,0.12643574
3,1852,5.190166,542.3,VIRGIN,0.63555616
2,1917,3.493788,395.6,VIRGIN,0.5124951
4,1983,3.638129,389,CORPLOG,0.30797893
6,1961,3.72714996,438.6,VIRGIN,1.79496145
3,340.8,8.63799095,72.11,LT-SEL,0.2041461
